"Packlink.com Order Export","Packlink.com Order Export"
"Packlink.com configuration","Packlink.com configuration"
"Enabled","Enabled"
"Service URL","Service URL"
"API Key","API Key"
"Sender configuration","Sender configuration"
"First Name","First Name"
"Last Name","Last Name"
"Company","Company"
"Country","Country"
"Region/State","Region/State"
"City","City"
"Post Code","Post Code"
"Address","Address"
"E-Mail","E-Mail"
"Phone","Phone"
"Exported to Packlink Pro.","Exported to Packlink Pro."
"Encountered error when sending to Packlink Pro: %s","Encountered error when sending to Packlink Pro: %s"
